Entrez_ID	Ensemble_ID_human	Gene_symbol_human
11161	ENSG00000133935	C14orf1
9812	ENSG00000081791	KIAA0141
84542	ENSG00000162929	KIAA1841
84326	ENSG00000130731	C16orf13
54987	ENSG00000162384	C1orf123
55286	ENSG00000154274	C4orf19
154791	ENSG00000164898	C7orf55
10944	ENSG00000110696	C11orf58
100527943	ENSG00000259399	TGIF2-C20orf24
9692	ENSG00000100890	KIAA0391
79095	ENSG00000171159	C9orf16
91966	ENSG00000197620	CXorf40A
84688	ENSG00000164972	C9orf24
64776	ENSG00000137720	C11orf1
401097	ENSG00000180044	C3orf80
149840	ENSG00000171984	C20orf196
25962	ENSG00000164944	KIAA1429
65265	ENSG00000182307	C8orf33
79096	ENSG00000149179	C11orf49
138241	ENSG00000155621	C9orf85
57456	ENSG00000163807	KIAA1143
127687	ENSG00000197982	C1orf122
205428	ENSG00000181744	C3orf58
728568	ENSG00000204954	C12orf73
387882	ENSG00000235162	C12orf75
84417	ENSG00000119147	C2orf40
80178	ENSG00000162062	C16orf59
55009	ENSG00000228300	C19orf24
387263	ENSG00000185127	C6orf120
83636	ENSG00000131943	C19orf12
339778	ENSG00000173557	C2orf70
134121	ENSG00000215217	C5orf49
375759	ENSG00000179058	C9orf50
388381	ENSG00000275489	C17orf98
388963	ENSG00000159239	C2orf81
128864	ENSG00000149609	C20orf144
284067	ENSG00000231256	C17orf105
255119	ENSG00000197826	C4orf22
138162	ENSG00000160345	C9orf116
342918	ENSG00000235034	C19orf81
168090	ENSG00000112539	C6orf118
55195	ENSG00000100557	C14orf105
646603	ENSG00000237136	C4orf51
127003	ENSG00000179902	C1orf194
284680	ENSG00000171722	C1orf111
200159	ENSG00000173728	C1orf100
400566	ENSG00000187624	C17orf97
56905	ENSG00000167173	C15orf39
374877	ENSG00000198723	C19orf45
84281	ENSG00000187699	C2orf88
143379	ENSG00000165863	C10orf82
146853	ENSG00000270806	C17orf50
51250	ENSG00000130349	C6orf203
138724	ENSG00000174038	C9orf131
282966	ENSG00000178645	C10orf53
