Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
11161	ENSG00000133935	C14orf1	ERG28	Q9UKR5
9812	ENSG00000081791	KIAA0141	KIAA0141	Q14154
84542	ENSG00000162929	KIAA1841	KIAA1841	Q6NSI8
84326	ENSG00000130731	C16orf13	METTL26	Q96S19
54987	ENSG00000162384	C1orf123	C1orf123	Q9NWV4
55286	ENSG00000154274	C4orf19	C4orf19	Q8IY42
154791	ENSG00000164898	C7orf55	FMC1	Q96HJ9
10944	ENSG00000110696	C11orf58	C11orf58	O00193
100527943	ENSG00000259399	TGIF2-C20orf24	TGIF2-C20orf24	-
9692	ENSG00000100890	KIAA0391	KIAA0391	O15091
79095	ENSG00000171159	C9orf16	C9orf16	Q9BUW7
91966	ENSG00000197620	CXorf40A	CXorf40A	Q8TE69
84688	ENSG00000164972	C9orf24	C9orf24	Q8NCR6
64776	ENSG00000137720	C11orf1	C11orf1	Q9H5F2
401097	ENSG00000180044	C3orf80	C3orf80	F5H4A9
149840	ENSG00000171984	C20orf196	C20orf196	Q8IYI0
25962	ENSG00000164944	KIAA1429	VIRMA	Q69YN4
65265	ENSG00000182307	C8orf33	C8orf33	Q9H7E9
79096	ENSG00000149179	C11orf49	C11orf49	Q9H6J7
138241	ENSG00000155621	C9orf85	C9orf85	Q96MD7
57456	ENSG00000163807	KIAA1143	KIAA1143	Q96AT1
127687	ENSG00000197982	C1orf122	C1orf122	Q6ZSJ8
205428	ENSG00000181744	C3orf58	C3orf58	Q8NDZ4
728568	ENSG00000204954	C12orf73	C12orf73	Q69YU5
387882	ENSG00000235162	C12orf75	C12orf75	Q8TAD7
84417	ENSG00000119147	C2orf40	C2orf40	Q9H1Z8
80178	ENSG00000162062	C16orf59	TEDC2	Q7L2K0
55009	ENSG00000228300	C19orf24	C19orf24	Q9BVV8
387263	ENSG00000185127	C6orf120	C6orf120	Q7Z4R8
83636	ENSG00000131943	C19orf12	C19orf12	Q9NSK7
339778	ENSG00000173557	C2orf70	C2orf70	A6NJV1
134121	ENSG00000215217	C5orf49	C5orf49	A4QMS7
375759	ENSG00000179058	C9orf50	C9orf50	Q5SZB4
388381	ENSG00000275489	C17orf98	C17orf98	A8MV24
388963	ENSG00000159239	C2orf81	C2orf81	A6NN90
128864	ENSG00000149609	C20orf144	C20orf144	Q9BQM9
284067	ENSG00000231256	C17orf105	C17orf105	B2RV13
255119	ENSG00000197826	C4orf22	C4orf22	Q6V702
138162	ENSG00000160345	C9orf116	C9orf116	Q5BN46
342918	ENSG00000235034	C19orf81	C19orf81	C9J6K1
168090	ENSG00000112539	C6orf118	C6orf118	Q5T5N4
55195	ENSG00000100557	C14orf105	CCDC198	Q9NVL8
646603	ENSG00000237136	C4orf51	C4orf51	C9J302
127003	ENSG00000179902	C1orf194	C1orf194	Q5T5A4
284680	ENSG00000171722	C1orf111	SPATA46	Q5T0L3
200159	ENSG00000173728	C1orf100	C1orf100	Q5SVJ3
400566	ENSG00000187624	C17orf97	C17orf97	Q6ZQX7
56905	ENSG00000167173	C15orf39	C15orf39	Q6ZRI6
374877	ENSG00000198723	C19orf45	TEX45	Q8NA69
84281	ENSG00000187699	C2orf88	C2orf88	Q9BSF0
143379	ENSG00000165863	C10orf82	C10orf82	Q8WW14
146853	ENSG00000270806	C17orf50	C17orf50	Q8WW18
51250	ENSG00000130349	C6orf203	C6orf203	Q9P0P8
138724	ENSG00000174038	C9orf131	C9orf131	Q5VYM1
282966	ENSG00000178645	C10orf53	C10orf53	Q8N6V4
199920	ENSG00000187889	C1orf168	FYB2	Q5VWT5
81563	ENSG00000116667	C1orf21	C1orf21	Q9H246
11092	ENSG00000165698	C9orf9	SPACA9	Q96E40
138255	ENSG00000204711	C9orf135	C9orf135	Q5VTT2
143678	ENSG00000234776	C11orf94	C11orf94	C9JXX5
441054	ENSG00000205129	C4orf47	C4orf47	A7E2U8
123775	ENSG00000166455	C16orf46	C16orf46	Q6P387
84167	ENSG00000105072	C19orf44	C19orf44	Q9H6X5
646174	ENSG00000215131	C16orf90	C16orf90	A8MZG2
54976	ENSG00000101220	C20orf27	C20orf27	Q9GZN8
219621	ENSG00000183346	C10orf107	CABCOCO1	Q8IVU9
205327	ENSG00000178074	C2orf69	C2orf69	Q8N8R5
646457	ENSG00000188032	C19orf67	C19orf67	A6NJJ6
84645	ENSG00000128346	C22orf23	C22orf23	Q9BZE7
339804	ENSG00000237651	C2orf74	C2orf74	A8MZ97
375341	ENSG00000188315	C3orf62	C3orf62	Q6ZUJ4
83938	ENSG00000148655	C10orf11	LRMDA	Q9H2I8
374470	ENSG00000179088	C12orf42	C12orf42	Q96LP6
283129	ENSG00000168070	C11orf85	MAJIN	Q3KP22
55017	ENSG00000179933	C14orf119	C14orf119	Q9NWQ9
124773	ENSG00000141371	C17orf64	C17orf64	Q86WR6
56892	ENSG00000176907	C8orf4	TCIM	Q9NR00
29035	ENSG00000182831	C16orf72	C16orf72	Q14CZ0
401466	ENSG00000176731	C8orf59	C8orf59	Q8N0T1
90580	ENSG00000142444	C19orf52	TIMM29	Q9BSF4
159013	ENSG00000185753	CXorf38	CXorf38	Q8TB03
401152	ENSG00000164096	C4orf3	C4orf3	Q8WVX3
85352	ENSG00000138944	KIAA1644	SHISAL1	Q3SXP7
755	ENSG00000160226	C21orf2	C21orf2	O43822
284184	ENSG00000224877	C17orf89	NDUFAF8	A1L188
53838	ENSG00000171067	C11orf24	C11orf24	Q96F05
9556	ENSG00000156411	C14orf2	ATP5MPL	P56378
219738	ENSG00000171224	C10orf35	FAM241B	Q96D05
84909	ENSG00000148120	C9orf3	C9orf3	Q8N6M6
343990	ENSG00000196872	KIAA1211L	KIAA1211L	Q6NV74
113230	ENSG00000141854	CTB-55O6.8	MISP3	Q96FF7
84267	ENSG00000165118	C9orf64	C9orf64	Q5T6V5
64897	ENSG00000157895	C12orf43	C12orf43	Q96C57
285600	ENSG00000185261	KIAA0825	KIAA0825	Q8IV33
66004	ENSG00000180155	LYNX1	LYNX1	P0DP58
145853	ENSG00000189227	C15orf61	C15orf61	A6NNL5
388722	ENSG00000203724	C1orf53	C1orf53	Q5VUE5
148223	ENSG00000119559	C19orf25	C19orf25	Q9UFG5
126526	ENSG00000160392	C19orf47	C19orf47	Q8N9M1
84886	ENSG00000119280	C1orf198	C1orf198	Q9H425
91894	ENSG00000149300	C11orf52	C11orf52	Q96A22
79169	ENSG00000143793	C1orf35	C1orf35	Q9BU76
57614	ENSG00000134444	KIAA1468	KIAA1468	Q9P260
79002	ENSG00000123144	C19orf43	TRIR	Q9BQ61
