Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
6833	ENSG00000006071	ABCC8	ABCC8	Q09428
88	ENSG00000077522	ACTN2	ACTN2	P35609
2334	ENSG00000155966	AFF2	AFF2	P51816
91801	ENSG00000137760	ALKBH8	ALKBH8	Q96BT7
205147	ENSG00000178171	AMER3	AMER3	Q8N944
283373	ENSG00000139645	ANKRD52	ANKRD52	Q8NB46
8120	ENSG00000103723	AP3B2	AP3B2	Q13367
2909	ENSG00000160007	ARHGAP35	ARHGAP35	Q9NRY4
57492	ENSG00000049618	ARID1B	ARID1B	Q8NFD5
10550	ENSG00000144746	ARL6IP5	ARL6IP5	O75915
55870	ENSG00000116539	ASH1L	ASH1L	Q9NR48
80816	ENSG00000141431	ASXL3	ASXL3	Q9C0F0
51761	ENSG00000132932	ATP8A2	ATP8A2	Q9NTI2
127002	ENSG00000162650	ATXN7L2	ATXN7L2	Q5T6C5
91653	ENSG00000144857	BOC	BOC	Q9BWV1
23476	ENSG00000141867	BRD4	BRD4	O60885
776	ENSG00000157388	CACNA1D	CACNA1D	Q01668
55799	ENSG00000157445	CACNA2D3	CACNA2D3	Q8IZS8
10645	ENSG00000110931	CAMKK2	CAMKK2	Q96RR4
57662	ENSG00000076826	CAMSAP3	CAMSAP3	Q9P1Y5
23261	ENSG00000171735	CAMTA1	CAMTA1	Q9Y6Y1
23473	ENSG00000131375	CAPN7	CAPN7	Q9Y6W3
898	ENSG00000105173	CCNE1	CCNE1	P24864
10421	ENSG00000169217	CD2BP2	CD2BP2	O95400
1265	ENSG00000064666	CNN2	CNN2	Q99439
152330	ENSG00000144619	CNTN4	CNTN4	Q8IWV2
90993	ENSG00000157613	CREB3L1	CREB3L1	Q96BA8
1394	ENSG00000120088	CRHR1	CRHR1	P34998
1399	ENSG00000099942	CRKL	CRKL	P46109
1501	ENSG00000169862	CTNND2	CTNND2	Q9UQB3
11068	ENSG00000114395	CYB561D2	CYB561D2	O14569
23259	ENSG00000085788	DDHD2	DDHD2	O94830
1654	ENSG00000215301	DDX3X	DDX3X	O00571
90957	ENSG00000163214	DHX57	DHX57	Q6P158
22982	ENSG00000151240	DIP2C	DIP2C	Q9Y2E4
56521	ENSG00000108176	DNAJC12	DNAJC12	Q9UKB3
1788	ENSG00000119772	DNMT3A	DNMT3A	Q9Y6K1
23333	ENSG00000173852	DPY19L1	DPY19L1	Q2PZI1
1859	ENSG00000157540	DYRK1A	DYRK1A	Q13627
254102	ENSG00000173442	EHBP1L1	EHBP1L1	Q8N3D4
3646	ENSG00000104408	EIF3E	EIF3E	P60228
9694	ENSG00000104412	EMC2	EMC2	Q15006
2034	ENSG00000116016	EPAS1	EPAS1	Q99814
284656	ENSG00000183317	EPHA10	EPHA10	Q5JZY3
2104	ENSG00000196482	ESRRG	ESRRG	P62508
2109	ENSG00000105379	ETFB	ETFB	P38117
284611	ENSG00000162636	FAM102B	FAM102B	Q5T8I3
2212	ENSG00000143226	FCGR2A	FCGR2A	P12318
122786	ENSG00000139926	FRMD6	FRMD6	Q96NE9
2561	ENSG00000145864	GABRB2	GABRB2	P47870
2565	ENSG00000163285	GABRG1	GABRG1	Q8N1C3
2567	ENSG00000182256	GABRG3	GABRG3	Q99928
55568	ENSG00000164574	GALNT10	GALNT10	Q86SR1
9615	ENSG00000119125	GDA	GDA	Q9Y2T3
23062	ENSG00000103365	GGA2	GGA2	Q9UJY4
10755	ENSG00000123159	GIPC1	GIPC1	O14908
2731	ENSG00000178445	GLDC	GLDC	P23378
64841	ENSG00000100522	GNPNAT1	GNPNAT1	Q96EK6
401647	ENSG00000155265	GOLGA7B	GOLGA7B	Q2TAP0
2239	ENSG00000076716	GPC4	GPC4	O75487
9380	ENSG00000137106	GRHPR	GRHPR	Q9UBQ7
2904	ENSG00000273079	GRIN2B	GRIN2B	Q13224
23426	ENSG00000155974	GRIP1	GRIP1	Q9Y3R0
2977	ENSG00000152402	GUCY1A2	GUCY1A2	P33402
3070	ENSG00000119969	HELLS	HELLS	Q9NRZ9
3107	ENSG00000204525	HLA-C	HLA-C	Q9TNN7
3269	ENSG00000196639	HRH1	HRH1	P35367
9957	ENSG00000002587	HS3ST1	HS3ST1	O14792
9951	ENSG00000182601	HS3ST4	HS3ST4	Q9Y661
3321	ENSG00000143061	IGSF3	IGSF3	O75054
23765	ENSG00000177663	IL17RA	IL17RA	Q96F46
26512	ENSG00000102786	INTS6	INTS6	Q9UL03
