Entrez_ID	Ensemble_ID_human	Gene_symbol_human
6833	ENSG00000006071	ABCC8
88	ENSG00000077522	ACTN2
2334	ENSG00000155966	AFF2
91801	ENSG00000137760	ALKBH8
205147	ENSG00000178171	AMER3
283373	ENSG00000139645	ANKRD52
8120	ENSG00000103723	AP3B2
2909	ENSG00000160007	ARHGAP35
57492	ENSG00000049618	ARID1B
10550	ENSG00000144746	ARL6IP5
55870	ENSG00000116539	ASH1L
80816	ENSG00000141431	ASXL3
51761	ENSG00000132932	ATP8A2
127002	ENSG00000162650	ATXN7L2
91653	ENSG00000144857	BOC
23476	ENSG00000141867	BRD4
776	ENSG00000157388	CACNA1D
55799	ENSG00000157445	CACNA2D3
10645	ENSG00000110931	CAMKK2
57662	ENSG00000076826	CAMSAP3
23261	ENSG00000171735	CAMTA1
23473	ENSG00000131375	CAPN7
898	ENSG00000105173	CCNE1
10421	ENSG00000169217	CD2BP2
1265	ENSG00000064666	CNN2
152330	ENSG00000144619	CNTN4
90993	ENSG00000157613	CREB3L1
1394	ENSG00000120088	CRHR1
1399	ENSG00000099942	CRKL
1501	ENSG00000169862	CTNND2
11068	ENSG00000114395	CYB561D2
23259	ENSG00000085788	DDHD2
1654	ENSG00000215301	DDX3X
90957	ENSG00000163214	DHX57
22982	ENSG00000151240	DIP2C
56521	ENSG00000108176	DNAJC12
1788	ENSG00000119772	DNMT3A
23333	ENSG00000173852	DPY19L1
1859	ENSG00000157540	DYRK1A
254102	ENSG00000173442	EHBP1L1
3646	ENSG00000104408	EIF3E
9694	ENSG00000104412	EMC2
2034	ENSG00000116016	EPAS1
284656	ENSG00000183317	EPHA10
2104	ENSG00000196482	ESRRG
2109	ENSG00000105379	ETFB
284611	ENSG00000162636	FAM102B
2212	ENSG00000143226	FCGR2A
122786	ENSG00000139926	FRMD6
2561	ENSG00000145864	GABRB2
2565	ENSG00000163285	GABRG1
2567	ENSG00000182256	GABRG3
55568	ENSG00000164574	GALNT10
9615	ENSG00000119125	GDA
23062	ENSG00000103365	GGA2
10755	ENSG00000123159	GIPC1
2731	ENSG00000178445	GLDC
64841	ENSG00000100522	GNPNAT1
401647	ENSG00000155265	GOLGA7B
2239	ENSG00000076716	GPC4
9380	ENSG00000137106	GRHPR
2904	ENSG00000273079	GRIN2B
23426	ENSG00000155974	GRIP1
2977	ENSG00000152402	GUCY1A2
3070	ENSG00000119969	HELLS
3107	ENSG00000204525	HLA-C
3269	ENSG00000196639	HRH1
9957	ENSG00000002587	HS3ST1
9951	ENSG00000182601	HS3ST4
3321	ENSG00000143061	IGSF3
23765	ENSG00000177663	IL17RA
26512	ENSG00000102786	INTS6
359948	ENSG00000168264	IRF2BP2
3735	ENSG00000065427	KARS
7994	ENSG00000083168	KAT6A
3750	ENSG00000102057	KCND1
90134	ENSG00000184611	KCNH7
3778	ENSG00000156113	KCNMA1
9682	ENSG00000066135	KDM4A
23135	ENSG00000132510	KDM6B
340533	ENSG00000050030	KIAA2022
26249	ENSG00000146021	KLHL3
4297	ENSG00000118058	KMT2A
55904	ENSG00000005483	KMT2E
51111	ENSG00000110066	KMT5B
9113	ENSG00000131023	LATS1
3949	ENSG00000130164	LDLR
137994	ENSG00000165046	LETM2
5641	ENSG00000100600	LGMN
84894	ENSG00000169783	LINGO1
4004	ENSG00000166407	LMO1
4012	ENSG00000113441	LNPEP
78999	ENSG00000173621	LRFN4
84946	ENSG00000135521	LTV1
9863	ENSG00000187391	MAGI2
10905	ENSG00000198162	MAN1A2
10746	ENSG00000169967	MAP3K2
4137	ENSG00000186868	MAPT
4204	ENSG00000169057	MECP2
23389	ENSG00000123066	MED13L
84545	ENSG00000055950	MRPL43
4482	ENSG00000175806	MSRA
9110	ENSG00000108389	MTMR4
92154	ENSG00000132613	MTSS1L
4644	ENSG00000197535	MYO5A
4650	ENSG00000099331	MYO9B
23040	ENSG00000186487	MYT1L
4738	ENSG00000129559	NEDD8
4753	ENSG00000184613	NELL2
25791	ENSG00000066248	NGEF
23530	ENSG00000112992	NNT
4842	ENSG00000089250	NOS1
4862	ENSG00000170485	NPAS2
4884	ENSG00000171246	NPTX1
4900	ENSG00000154146	NRGN
51299	ENSG00000124785	NRN1
80023	ENSG00000125841	NRSN2
64943	ENSG00000168268	NT5DC2
27328	ENSG00000102290	PCDH11X
5101	ENSG00000184226	PCDH9
5136	ENSG00000115252	PDE1A
5150	ENSG00000205268	PDE7A
55300	ENSG00000038210	PI4K2B
5496	ENSG00000115241	PPM1G
57580	ENSG00000124126	PREX1
5662	ENSG00000059915	PSD
139411	ENSG00000165186	PTCHD1
5764	ENSG00000105894	PTN
5800	ENSG00000151490	PTPRO
9693	ENSG00000109756	RAPGEF2
387496	ENSG00000122035	RASL11A
125950	ENSG00000161847	RAVER1
9985	ENSG00000100918	REC8
5649	ENSG00000189056	RELN
401190	ENSG00000186479	RGS7BP
388	ENSG00000143878	RHOB
22999	ENSG00000079841	RIMS1
6326	ENSG00000136531	SCN2A
7869	ENSG00000012171	SEMA3B
29072	ENSG00000181555	SETD2
55209	ENSG00000168137	SETD5
85358	ENSG00000251322	SHANK3
348235	ENSG00000182628	SKA2
83733	ENSG00000182902	SLC25A18
51312	ENSG00000147454	SLC25A37
7781	ENSG00000115194	SLC30A3
6529	ENSG00000157103	SLC6A1
285195	ENSG00000181804	SLC9A9
53919	ENSG00000139155	SLCO1C1
51375	ENSG00000162627	SNX7
10847	ENSG00000080603	SRCAP
6432	ENSG00000115875	SRSF7
8128	ENSG00000140557	ST8SIA2
6813	ENSG00000076944	STXBP2
64426	ENSG00000111707	SUDS3
646658	ENSG00000183379	SYNDIG1L
8831	ENSG00000197283	SYNGAP1
6863	ENSG00000006128	TAC1
6886	ENSG00000162367	TAL1
6894	ENSG00000059588	TARBP1
79718	ENSG00000177565	TBL1XR1
114795	ENSG00000139364	TMEM132B
80775	ENSG00000144120	TMEM177
7188	ENSG00000082512	TRAF5
9881	ENSG00000168016	TRANK1
4591	ENSG00000108395	TRIM37
7204	ENSG00000038382	TRIO
80705	ENSG00000135951	TSGA10
51322	ENSG00000095787	WAC
55689	ENSG00000163872	YEATS2
9925	ENSG00000168795	ZBTB5
90874	ENSG00000143067	ZNF697
